group,sta,date,prcp,yr,Period
MIS>1989,MIS,1992-09-15,453,1992,>1989
OEL>1989,OEL,1992-09-15,58,1992,>1989
ONI>1989,ONI,1992-09-15,235,1992,>1989
RAP>1989,RAP,1992-09-15,107,1992,>1989
COT>1989,COT,1992-10-15,5,1992,>1989
GOR>1989,GOR,1992-10-15,150,1992,>1989
MIS>1989,MIS,1992-10-15,48,1992,>1989
OEL>1989,OEL,1992-10-15,117,1992,>1989
ONI>1989,ONI,1992-10-15,79,1992,>1989
RAP>1989,RAP,1992-10-15,173,1992,>1989
COT>1989,COT,1992-11-15,367,1992,>1989
GOR>1989,GOR,1992-11-15,313,1992,>1989
MIS>1989,MIS,1992-11-15,305,1992,>1989
OEL>1989,OEL,1992-11-15,226,1992,>1989
ONI>1989,ONI,1992-11-15,376,1992,>1989
RAP>1989,RAP,1992-11-15,102,1992,>1989
COT>1989,COT,1992-12-15,56,1992,>1989
GOR>1989,GOR,1992-12-15,114,1992,>1989
MIS>1989,MIS,1992-12-15,36,1992,>1989
OEL>1989,OEL,1992-12-15,90,1992,>1989
ONI>1989,ONI,1992-12-15,201,1992,>1989
RAP>1989,RAP,1992-12-15,145,1992,>1989
COT>1989,COT,1993-01-15,89,1993,>1989
GOR>1989,GOR,1993-01-15,211,1993,>1989
MIS>1989,MIS,1993-01-15,57,1993,>1989
OEL>1989,OEL,1993-01-15,101,1993,>1989
ONI>1989,ONI,1993-01-15,198,1993,>1989
RAP>1989,RAP,1993-01-15,173,1993,>1989
COT>1989,COT,1993-02-15,279,1993,>1989
GOR>1989,GOR,1993-02-15,358,1993,>1989
MIS>1989,MIS,1993-02-15,289,1993,>1989
OEL>1989,OEL,1993-02-15,226,1993,>1989
ONI>1989,ONI,1993-02-15,261,1993,>1989
RAP>1989,RAP,1993-02-15,156,1993,>1989
COT>1989,COT,1993-03-15,77,1993,>1989
GOR>1989,GOR,1993-03-15,504,1993,>1989
MIS>1989,MIS,1993-03-15,209,1993,>1989
OEL>1989,OEL,1993-03-15,234,1993,>1989
ONI>1989,ONI,1993-03-15,265,1993,>1989
RAP>1989,RAP,1993-03-15,211,1993,>1989
COT>1989,COT,1993-04-15,473,1993,>1989
GOR>1989,GOR,1993-04-15,637,1993,>1989
MIS>1989,MIS,1993-04-15,885,1993,>1989
OEL>1989,OEL,1993-04-15,401,1993,>1989
ONI>1989,ONI,1993-04-15,322,1993,>1989
RAP>1989,RAP,1993-04-15,776,1993,>1989
COT>1989,COT,1993-05-15,678,1993,>1989
GOR>1989,GOR,1993-05-15,422,1993,>1989
MIS>1989,MIS,1993-05-15,381,1993,>1989
OEL>1989,OEL,1993-05-15,490,1993,>1989
ONI>1989,ONI,1993-05-15,515,1993,>1989
RAP>1989,RAP,1993-05-15,549,1993,>1989
COT>1989,COT,1993-06-15,1200,1993,>1989
GOR>1989,GOR,1993-06-15,1537,1993,>1989
MIS>1989,MIS,1993-06-15,1192,1993,>1989
OEL>1989,OEL,1993-06-15,1519,1993,>1989
ONI>1989,ONI,1993-06-15,1237,1993,>1989
RAP>1989,RAP,1993-06-15,862,1993,>1989
COT>1989,COT,1993-07-15,1157,1993,>1989
GOR>1989,GOR,1993-07-15,936,1993,>1989
MIS>1989,MIS,1993-07-15,644,1993,>1989
OEL>1989,OEL,1993-07-15,873,1993,>1989
ONI>1989,ONI,1993-07-15,1140,1993,>1989
RAP>1989,RAP,1993-07-15,1097,1993,>1989
COT>1989,COT,1993-08-15,354,1993,>1989
GOR>1989,GOR,1993-08-15,325,1993,>1989
MIS>1989,MIS,1993-08-15,688,1993,>1989
OEL>1989,OEL,1993-08-15,328,1993,>1989
ONI>1989,ONI,1993-08-15,439,1993,>1989
RAP>1989,RAP,1993-08-15,300,1993,>1989
COT>1989,COT,1993-09-15,457,1993,>1989
GOR>1989,GOR,1993-09-15,756,1993,>1989
MIS>1989,MIS,1993-09-15,524,1993,>1989
OEL>1989,OEL,1993-09-15,399,1993,>1989
ONI>1989,ONI,1993-09-15,516,1993,>1989
RAP>1989,RAP,1993-09-15,372,1993,>1989
COT>1989,COT,1993-10-15,97,1993,>1989
GOR>1989,GOR,1993-10-15,589,1993,>1989
MIS>1989,MIS,1993-10-15,184,1993,>1989
OEL>1989,OEL,1993-10-15,366,1993,>1989
ONI>1989,ONI,1993-10-15,248,1993,>1989
RAP>1989,RAP,1993-10-15,230,1993,>1989
COT>1989,COT,1993-11-15,259,1993,>1989
GOR>1989,GOR,1993-11-15,330,1993,>1989
MIS>1989,MIS,1993-11-15,330,1993,>1989
OEL>1989,OEL,1993-11-15,223,1993,>1989
ONI>1989,ONI,1993-11-15,346,1993,>1989
RAP>1989,RAP,1993-11-15,179,1993,>1989
COT>1989,COT,1993-12-15,142,1993,>1989
GOR>1989,GOR,1993-12-15,185,1993,>1989
MIS>1989,MIS,1993-12-15,258,1993,>1989
OEL>1989,OEL,1993-12-15,112,1993,>1989
ONI>1989,ONI,1993-12-15,176,1993,>1989
RAP>1989,RAP,1993-12-15,134,1993,>1989
COT>1989,COT,1994-01-15,87,1994,>1989
GOR>1989,GOR,1994-01-15,124,1994,>1989
MIS>1989,MIS,1994-01-15,158,1994,>1989
OEL>1989,OEL,1994-01-15,123,1994,>1989
ONI>1989,ONI,1994-01-15,156,1994,>1989
RAP>1989,RAP,1994-01-15,116,1994,>1989
COT>1989,COT,1994-02-15,145,1994,>1989
GOR>1989,GOR,1994-02-15,129,1994,>1989
MIS>1989,MIS,1994-02-15,117,1994,>1989
OEL>1989,OEL,1994-02-15,69,1994,>1989
ONI>1989,ONI,1994-02-15,133,1994,>1989
RAP>1989,RAP,1994-02-15,169,1994,>1989
COT>1989,COT,1994-03-15,67,1994,>1989
GOR>1989,GOR,1994-03-15,183,1994,>1989
MIS>1989,MIS,1994-03-15,116,1994,>1989
OEL>1989,OEL,1994-03-15,84,1994,>1989
ONI>1989,ONI,1994-03-15,144,1994,>1989
RAP>1989,RAP,1994-03-15,95,1994,>1989
COT>1989,COT,1994-04-15,455,1994,>1989
GOR>1989,GOR,1994-04-15,225,1994,>1989
MIS>1989,MIS,1994-04-15,585,1994,>1989
OEL>1989,OEL,1994-04-15,144,1994,>1989
ONI>1989,ONI,1994-04-15,488,1994,>1989
RAP>1989,RAP,1994-04-15,305,1994,>1989
COT>1989,COT,1994-05-15,212,1994,>1989
GOR>1989,GOR,1994-05-15,535,1994,>1989
MIS>1989,MIS,1994-05-15,335,1994,>1989
OEL>1989,OEL,1994-05-15,261,1994,>1989
ONI>1989,ONI,1994-05-15,488,1994,>1989
RAP>1989,RAP,1994-05-15,374,1994,>1989
COT>1989,COT,1994-06-15,487,1994,>1989
GOR>1989,GOR,1994-06-15,409,1994,>1989
MIS>1989,MIS,1994-06-15,1330,1994,>1989
OEL>1989,OEL,1994-06-15,559,1994,>1989
ONI>1989,ONI,1994-06-15,461,1994,>1989
RAP>1989,RAP,1994-06-15,171,1994,>1989
COT>1989,COT,1994-07-15,520,1994,>1989
GOR>1989,GOR,1994-07-15,638,1994,>1989
MIS>1989,MIS,1994-07-15,1109,1994,>1989
OEL>1989,OEL,1994-07-15,442,1994,>1989
ONI>1989,ONI,1994-07-15,812,1994,>1989
RAP>1989,RAP,1994-07-15,164,1994,>1989
COT>1989,COT,1994-08-15,770,1994,>1989
GOR>1989,GOR,1994-08-15,99,1994,>1989
MIS>1989,MIS,1994-08-15,870,1994,>1989
OEL>1989,OEL,1994-08-15,429,1994,>1989
ONI>1989,ONI,1994-08-15,192,1994,>1989
RAP>1989,RAP,1994-08-15,235,1994,>1989
COT>1989,COT,1994-09-15,175,1994,>1989
GOR>1989,GOR,1994-09-15,191,1994,>1989
MIS>1989,MIS,1994-09-15,162,1994,>1989
OEL>1989,OEL,1994-09-15,112,1994,>1989
ONI>1989,ONI,1994-09-15,406,1994,>1989
RAP>1989,RAP,1994-09-15,69,1994,>1989
COT>1989,COT,1994-10-15,488,1994,>1989
GOR>1989,GOR,1994-10-15,785,1994,>1989
MIS>1989,MIS,1994-10-15,397,1994,>1989
OEL>1989,OEL,1994-10-15,1025,1994,>1989
ONI>1989,ONI,1994-10-15,1012,1994,>1989
RAP>1989,RAP,1994-10-15,722,1994,>1989
COT>1989,COT,1994-11-15,107,1994,>1989
GOR>1989,GOR,1994-11-15,104,1994,>1989
MIS>1989,MIS,1994-11-15,165,1994,>1989
OEL>1989,OEL,1994-11-15,46,1994,>1989
ONI>1989,ONI,1994-11-15,207,1994,>1989
RAP>1989,RAP,1994-11-15,168,1994,>1989
COT>1989,COT,1994-12-15,64,1994,>1989
GOR>1989,GOR,1994-12-15,117,1994,>1989
MIS>1989,MIS,1994-12-15,86,1994,>1989
OEL>1989,OEL,1994-12-15,298,1994,>1989
ONI>1989,ONI,1994-12-15,211,1994,>1989
RAP>1989,RAP,1994-12-15,89,1994,>1989
COT>1989,COT,1995-01-15,62,1995,>1989
GOR>1989,GOR,1995-01-15,76,1995,>1989
MIS>1989,MIS,1995-01-15,21,1995,>1989
OEL>1989,OEL,1995-01-15,160,1995,>1989
ONI>1989,ONI,1995-01-15,142,1995,>1989
RAP>1989,RAP,1995-01-15,24,1995,>1989
COT>1989,COT,1995-02-15,222,1995,>1989
GOR>1989,GOR,1995-02-15,160,1995,>1989
MIS>1989,MIS,1995-02-15,132,1995,>1989
OEL>1989,OEL,1995-02-15,130,1995,>1989
ONI>1989,ONI,1995-02-15,155,1995,>1989
RAP>1989,RAP,1995-02-15,141,1995,>1989
COT>1989,COT,1995-03-15,330,1995,>1989
GOR>1989,GOR,1995-03-15,214,1995,>1989
MIS>1989,MIS,1995-03-15,284,1995,>1989
OEL>1989,OEL,1995-03-15,82,1995,>1989
ONI>1989,ONI,1995-03-15,422,1995,>1989
RAP>1989,RAP,1995-03-15,201,1995,>1989
COT>1989,COT,1995-04-15,482,1995,>1989
GOR>1989,GOR,1995-04-15,668,1995,>1989
MIS>1989,MIS,1995-04-15,986,1995,>1989
