sta,date,prcp
GOR,1989-01-15,0
GOR,1990-01-15,13
GOR,1991-01-15,95
GOR,1992-01-15,198
GOR,1993-01-15,211
GOR,1994-01-15,124
GOR,1995-01-15,76
GOR,1996-01-15,168
GOR,1997-01-15,241
GOR,1998-01-15,45
GOR,1999-01-15,57
GOR,2000-01-15,182
GOR,2001-01-15,318
GOR,2002-01-15,0
GOR,2003-01-15,117
GOR,2004-01-15,76
GOR,2005-01-15,97
GOR,2006-01-15,146
GOR,2007-01-15,20
GOR,2008-01-15,71
GOR,2009-01-15,100
GOR,2010-01-15,142
GOR,2011-01-15,319
GOR,2012-01-15,129
GOR,2013-01-15,141
GOR,2014-01-15,41
GOR,2015-01-15,36
GOR,2016-01-15,51
GOR,2017-01-15,376
GOR,2018-01-15,130
GOR,1959-02-15,53
GOR,1960-02-15,175
GOR,1961-02-15,57
GOR,1962-02-15,268
GOR,1963-02-15,41
GOR,1964-02-15,104
GOR,1965-02-15,148
GOR,1966-02-15,155
GOR,1967-02-15,15
GOR,1968-02-15,66
GOR,1969-02-15,105
GOR,1970-02-15,43
GOR,1971-02-15,95
GOR,1972-02-15,5
GOR,1973-02-15,74
GOR,1974-02-15,56
GOR,1975-02-15,46
GOR,1976-02-15,23
GOR,1977-02-15,151
GOR,1978-02-15,180
GOR,1979-02-15,36
GOR,1980-02-15,111
GOR,1981-02-15,18
GOR,1982-02-15,13
GOR,1983-02-15,5
GOR,1984-02-15,32
GOR,1985-02-15,8
GOR,1986-02-15,254
GOR,1987-02-15,445
GOR,1988-02-15,104
GOR,1989-02-15,167
GOR,1990-02-15,204
GOR,1991-02-15,140
GOR,1992-02-15,127
GOR,1993-02-15,358
GOR,1994-02-15,129
GOR,1995-02-15,160
GOR,1996-02-15,0
GOR,1997-02-15,140
GOR,1998-02-15,242
GOR,1999-02-15,121
GOR,2000-02-15,247
GOR,2001-02-15,157
GOR,2002-02-15,0
GOR,2003-02-15,49
GOR,2004-02-15,51
GOR,2005-02-15,11
GOR,2006-02-15,94
GOR,2007-02-15,117
