sta,ecoreg,type,watshed,gage_group,drain_dens,area,elev,field_cap,slope,jul_temp,TWI,NMDS1,NMDS2,gof
BEA1,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,2.43949770418197,1.07053213206158,3.03702170404112,3.85314662282817,1.95507355566372,4.57485262766963,0.615667324045077,0.476265311670816,-0.85931240934635,0.0153490900099216
BEA2,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,2.43949770418197,1.32542073493338,2.63744026543006,3.73483317879931,1.95507355566372,4.57485262766963,1.21165357804955,0.261694066320193,-0.445593462931674,0.00996674742338738
BEA3,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,2.43949770418197,1.88617566125135,2.15800594119143,3.71498878307269,1.95507355566372,4.6837776902332,1.03318659797867,0.572147251591153,-0.109458292128152,0.00859099068101472
BEL1,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,2.64070456103877,2.09008654354879,1.79864672508096,3.75464139504508,1.95507355566372,4.79270275279676,1.18142813236325,0.572771278807599,0.130088624784395,0.00740607588328007
BEL2,White River Badlands,ungaged,White Riv,Tertiary Clays,2.83530905346603,2.19204198469751,1.29966531528952,3.71498878307269,1.95507355566372,4.90162781536032,1.44471988011082,0.613668378059631,0.350092557230231,0.00668243992455801
BLP1,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,2.83530905346603,0.458799485169247,2.35139887496353,2.3590149386546,2.8641309901032,4.6837776902332,2.42576441734325,-0.760051167367683,-1.00214138684838,0.0078875428421657
BUZ1,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,2.83530905346603,1.01955441148721,1.87235271750583,3.83351638187397,2.46702815337797,4.79270275279676,1.62308374437417,0.0370228536171068,-0.17681820649249,0.00795543273193875
CHE1,Pierre Shale Plains,ungaged,White Riv,Pierre Shale Plains,4.81404337485937,3.7723513225027,2.02165789138983,3.10177557842598,1.95507355566372,3.48560200203401,1.55747123631923,-0.181137564633132,2.22657857173681,0.0169201828854549
CHE2,Pierre Shale Plains,ungaged,White Riv,Pierre Shale Plains,4.81404337485937,3.7723513225027,1.94119333519444,3.10177557842598,1.95507355566372,3.59452706459757,1.54120374668367,-0.109355730438949,2.20730254743962,0.0162472842093877
COR1,Pine Ridge Escarpment,ungaged,White Riv,Tertiary Clays,3.20706320025813,0.968576690912854,2.32943939983548,3.49425433858988,3.18858763235271,4.79270275279676,2.56222749309664,-0.842273079485279,-0.145199911351872,0.00761807942770753
CRA1,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,2.83530905346603,0.458799485169247,1.87039927782177,3.71498878307269,1.95507355566372,5.11947794048745,1.19651642732333,0.405562635099946,-0.596756407922103,0.0139218852881592
EAN1,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,2.83530905346603,0.968576690912854,1.76793506557634,3.95077619645975,1.95507355566372,5.11947794048745,1.44471988011082,0.377356307229751,-0.200476429398275,0.0105141185629547
EAN2,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,3.02392138950966,1.27444301435902,1.23197878988235,3.39238986980309,2.46702815337797,5.44625312817814,1.98235620637651,0.166401961277198,0.0407719747035647,0.0113312730242629
